0       <= x <     630; y_0     =        82.11 +     -0.000611x; Linear Approximation
6510.0  <= x <  6540.0; y_217   =      3123.00 +     -0.466667x; Piecewise Interpolation
6540.0  <= x <  6570.0; y_218   =      -801.00 +      0.133333x; Piecewise Interpolation
6570.0  <= x <  6600.0; y_219   =       732.00 +     -0.100000x; Piecewise Interpolation
6600.0  <= x <  6630.0; y_220   =     -1468.00 +      0.233333x; Piecewise Interpolation
6630.0  <= x <  6660.0; y_221   =     -1026.00 +      0.166667x; Piecewise Interpolation
6660.0  <= x <  6690.0; y_222   =       972.00 +     -0.133333x; Piecewise Interpolation
6690.0  <= x <  6720.0; y_223   =      2087.00 +     -0.300000x; Piecewise Interpolation
6720.0  <= x <  6750.0; y_224   =     -1049.00 +      0.166667x; Piecewise Interpolation
6750.0  <= x <  6780.0; y_225   =     -2399.00 +      0.366667x; Piecewise Interpolation
6780.0  <= x <  6810.0; y_226   =      1669.00 +     -0.233333x; Piecewise Interpolation
6810.0  <= x <  6840.0; y_227   =     -2417.00 +      0.366667x; Piecewise Interpolation
6840.0  <= x <  6870.0; y_228   =      2827.00 +     -0.400000x; Piecewise Interpolation
6870.0  <= x <  6900.0; y_229   =     -1295.00 +      0.200000x; Piecewise Interpolation
6900.0  <= x <  6930.0; y_230   =      3535.00 +     -0.500000x; Piecewise Interpolation
6930.0  <= x <  6960.0; y_231   =     -3164.00 +      0.466667x; Piecewise Interpolation
6960.0  <= x <  6990.0; y_232   =      -844.00 +      0.133333x; Piecewise Interpolation
6990.0  <= x <  7020.0; y_233   =      4049.00 +     -0.566667x; Piecewise Interpolation
7020.0  <= x <  7050.0; y_234   =     -3673.00 +      0.533333x; Piecewise Interpolation
7050.0  <= x <  7080.0; y_235   =        87.00 +      0.000000x; Piecewise Interpolation
7080.0  <= x <  7110.0; y_236   =      -857.00 +      0.133333x; Piecewise Interpolation
7110.0  <= x <  7140.0; y_237   =       328.00 +     -0.033333x; Piecewise Interpolation
7140.0  <= x <  7170.0; y_238   =       328.00 +     -0.033333x; Piecewise Interpolation
7170.0  <= x <  7200.0; y_239   =      -150.00 +      0.033333x; Piecewise Interpolation
7200.0  <= x <  7230.0; y_240   =       330.00 +     -0.033333x; Piecewise Interpolation
7230.0  <= x <  7260.0; y_241   =      4427.00 +     -0.600000x; Piecewise Interpolation
7260.0  <= x <  7290.0; y_242   =       313.00 +     -0.033333x; Piecewise Interpolation
7290.0  <= x <  7320.0; y_243   =     -3818.00 +      0.533333x; Piecewise Interpolation
7320.0  <= x <  7350.0; y_244   =      -646.00 +      0.100000x; Piecewise Interpolation
7350.0  <= x <  7380.0; y_245   =      4744.00 +     -0.633333x; Piecewise Interpolation
7380.0  <= x <  7410.0; y_246   =     -4850.00 +      0.666667x; Piecewise Interpolation
7410.0  <= x <  7440.0; y_247   =      5030.00 +     -0.666667x; Piecewise Interpolation
7440.0  <= x <  7470.0; y_248   =     -4146.00 +      0.566667x; Piecewise Interpolation
7470.0  <= x <  7500.0; y_249   =      4071.00 +     -0.533333x; Piecewise Interpolation
7500.0  <= x <  7530.0; y_250   =       321.00 +     -0.033333x; Piecewise Interpolation
7530.0  <= x <  7560.0; y_251   =        70.00 +      0.000000x; Piecewise Interpolation
7560.0  <= x <  7590.0; y_252   =     -4466.00 +      0.600000x; Piecewise Interpolation
7590.0  <= x <  7620.0; y_253   =      -924.00 +      0.133333x; Piecewise Interpolation
7620.0  <= x <  7650.0; y_254   =      1108.00 +     -0.133333x; Piecewise Interpolation
7650.0  <= x <  7680.0; y_255   =      4678.00 +     -0.600000x; Piecewise Interpolation
7680.0  <= x <  7710.0; y_256   =      -186.00 +      0.033333x; Piecewise Interpolation
7710.0  <= x <  7740.0; y_257   =     -4812.00 +      0.633333x; Piecewise Interpolation
7740.0  <= x <  7770.0; y_258   =       606.00 +     -0.066667x; Piecewise Interpolation
7770.0  <= x <  7800.0; y_259   =      4491.00 +     -0.566667x; Piecewise Interpolation
7800.0  <= x <  7830.0; y_260   =       331.00 +     -0.033333x; Piecewise Interpolation
7830.0  <= x <  7860.0; y_261   =     -4889.00 +      0.633333x; Piecewise Interpolation
7860.0  <= x <  7890.0; y_262   =       351.00 +     -0.033333x; Piecewise Interpolation
7890.0  <= x <  7920.0; y_263   =      -438.00 +      0.066667x; Piecewise Interpolation
7920.0  <= x <  7950.0; y_264   =       882.00 +     -0.100000x; Piecewise Interpolation
7950.0  <= x <  7980.0; y_265   =      -973.00 +      0.133333x; Piecewise Interpolation
7980.0  <= x <  8010.0; y_266   =      3017.00 +     -0.366667x; Piecewise Interpolation
8010.0  <= x <  8040.0; y_267   =      2750.00 +     -0.333333x; Piecewise Interpolation
8040.0  <= x <  8070.0; y_268   =       874.00 +     -0.100000x; Piecewise Interpolation
8070.0  <= x <  8100.0; y_269   =     -6389.00 +      0.800000x; Piecewise Interpolation
8100.0  <= x <  8130.0; y_270   =        91.00 +      0.000000x; Piecewise Interpolation
8130.0  <= x <  8160.0; y_271   =      5782.00 +     -0.700000x; Piecewise Interpolation
8160.0  <= x <  8190.0; y_272   =      -746.00 +      0.100000x; Piecewise Interpolation
8190.0  <= x <  8220.0; y_273   =     -5114.00 +      0.633333x; Piecewise Interpolation
8220.0  <= x <  8250.0; y_274   =      1462.00 +     -0.166667x; Piecewise Interpolation
8250.0  <= x <  8280.0; y_275   =      6687.00 +     -0.800000x; Piecewise Interpolation
8280.0  <= x <  8310.0; y_276   =     -1317.00 +      0.166667x; Piecewise Interpolation
8310.0  <= x <  8340.0; y_277   =     -6580.00 +      0.800000x; Piecewise Interpolation
8340.0  <= x <  8370.0; y_278   =       926.00 +     -0.100000x; Piecewise Interpolation
8370.0  <= x <  8400.0; y_279   =      5390.00 +     -0.633333x; Piecewise Interpolation
8400.0  <= x <  8430.0; y_280   =       350.00 +     -0.033333x; Piecewise Interpolation
8430.0  <= x <  8460.0; y_281   =     -6956.00 +      0.833333x; Piecewise Interpolation
8460.0  <= x <  8490.0; y_282   =      1504.00 +     -0.166667x; Piecewise Interpolation
8490.0  <= x <  8520.0; y_283   =      5183.00 +     -0.600000x; Piecewise Interpolation
8520.0  <= x <  8550.0; y_284   =      -497.00 +      0.066667x; Piecewise Interpolation
8550.0  <= x <  8580.0; y_285   =     -5627.00 +      0.666667x; Piecewise Interpolation
8580.0  <= x <  8610.0; y_286   =      2381.00 +     -0.266667x; Piecewise Interpolation
8610.0  <= x <  8640.0; y_287   =      4103.00 +     -0.466667x; Piecewise Interpolation
8640.0  <= x <  8670.0; y_288   =        71.00 +      0.000000x; Piecewise Interpolation
8670.0  <= x <  8700.0; y_289   =       360.00 +     -0.033333x; Piecewise Interpolation
8700.0  <= x <  8730.0; y_290   =      -800.00 +      0.100000x; Piecewise Interpolation
8730.0  <= x <  8760.0; y_291   =     -4292.00 +      0.500000x; Piecewise Interpolation
8760.0  <= x <  8790.0; y_292   =      1840.00 +     -0.200000x; Piecewise Interpolation
8790.0  <= x <  8820.0; y_293   =     -1969.00 +      0.233333x; Piecewise Interpolation
8820.0  <= x <  8850.0; y_294   =       677.00 +     -0.066667x; Piecewise Interpolation
8850.0  <= x <  8880.0; y_295   =      5102.00 +     -0.566667x; Piecewise Interpolation
8880.0  <= x <  8910.0; y_296   =      -818.00 +      0.100000x; Piecewise Interpolation
8910.0  <= x <  8940.0; y_297   =     -4976.00 +      0.566667x; Piecewise Interpolation
8940.0  <= x <  8970.0; y_298   =      2474.00 +     -0.266667x; Piecewise Interpolation
8970.0  <= x <  9000.0; y_299   =     -2908.00 +      0.333333x; Piecewise Interpolation
9000.0  <= x <  9030.0; y_300   =      1592.00 +     -0.166667x; Piecewise Interpolation
9030.0  <= x <  9060.0; y_301   =      6709.00 +     -0.733333x; Piecewise Interpolation
9060.0  <= x <  9090.0; y_302   =     -1747.00 +      0.200000x; Piecewise Interpolation
9090.0  <= x <  9120.0; y_303   =     -5989.00 +      0.666667x; Piecewise Interpolation
9120.0  <= x <  9150.0; y_304   =      2827.00 +     -0.300000x; Piecewise Interpolation
